A,B,Segment,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
hey my folk this nigger loving jew boy asked if i was making death threats against his goat fucking people fuck him,0,1,4.55,0,0,4.55,13.64,0,13.64,0,4.55,0,4.55,0,9.09,0,22.73,4.55,4.55,4.55,4.55,0,0,0,0,13.64,36.36,18.18,4.55,0,4.55,0,9.09,18.18,0,0,0,13.64,4.55,0,4.55,0,4.55,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,4.55,0,9.09,0,0,0,0,0,0,0,0,9.09,0,0,4.55,4.55,0,0,0
hey im gonna get some so of bird tattooed on my body accompanied with an anchorrope situation no ones doing that right now right,2,1,4.17,4.17,0,0,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4.17,4.17,8.33,4.17,8.33,8.33,0,0,0
hey people bird watching you do realize theres like hundreds literally hundreds of free pictures of boobs on the iernet right,1,1,0,0,0,0,4.76,0,4.76,4.76,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,23.81,9.52,4.76,0,4.76,4.76,0,0,0,0,9.52,0,4.76,4.76,0,0,0
hey you bitch in the minivan stop riding my ass you have no power in your vehicle just stop already,1,1,5,0,0,5,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,20,5,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,5,10,0,0,0,15,5,0,0,5,5,0,0,0
hey aside this was my graduation cap like fuck you bitch detroit what,1,1,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,23.08,0,15.38,0,0,0,0,0,0,23.08,23.08,23.08,0,0,15.38,0,7.69,15.38,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,7.69,0,0,7.69,7.69,0,0,0
hey do be like a stupid white bitch in some horror movie asks america to hide from isis behind some chainsaws mkay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,9.09,4.55,0,4.55,4.55,0,0,4.55,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,9.09,18.18,0,0,9.09,9.09,0,0,0,0,4.55,0,4.55,4.55,0,0,0
hi charlie eating leftover candy,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,20,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high school is tough for everyone grow the fuck up and stop being a little bitch that should be a tag line for my new speaking tour,1,1,0,0,0,0,7.41,3.7,3.7,0,0,3.7,0,0,0,0,11.11,3.7,0,0,0,0,0,0,0,7.41,7.41,3.7,0,0,0,0,3.7,3.7,0,0,0,0,0,0,0,0,7.41,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,11.11,0,0,11.11,0,0,0,7.41,0,3.7,0,0,0,0,0,0
high then a bitch of them bong rips steady smoking gs with my nigga jorge,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,20,0,0,0,0,0,0,20,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,13.33,0,6.67,6.67,0,0,0,6.67,0,0,0,0,0,0,0,0
high then a hoe but played it cooooool,1,1,0,0,0,0,12.5,0,12.5,0,0,0,0,0,12.5,0,25,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0
high then a hoe watching wolf of wall street,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,44.44,11.11,0,33.33,11.11,0,0,11.11,0,0,0,0,0,0,0,0
high then a hoe with bitch ass benny,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,37.5,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0
high then a hoe hitting this bowl for my nigga rick riprick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,0,0,0,0,0,0,8.33,25,0,0,0,0,0,0,25,0,16.67,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0
high thenna bitch thats y im tweeting,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,28.57,0,14.29,14.29,0,0,0
higher den a bitch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
highhhhh watching dawn of planet of the apes stonernation lifecomplete,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0
highland bitchk them bitches stupid on bloods id fuck with deja thoe,1,1,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,33.33,0,8.33,0,0,0,0,0,0,25,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
his big ass smile his eyes is chink,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,12.5,12.5,0,0,0,0,25,37.5,12.5,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
his bitch ass a hoe ass nigga prolly do get no pussy,1,1,0,0,0,0,16.67,8.33,8.33,0,0,0,8.33,0,0,0,50,0,0,0,0,0,0,0,0,50,16.67,0,0,0,0,0,0,16.67,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0
his bitch ass is the same way so it do matter,1,1,0,0,0,0,18.18,0,18.18,0,0,0,0,0,9.09,0,18.18,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0
his bitch wan fuck me cuz he sneak dissin me,1,1,0,0,0,0,10,0,10,0,10,0,0,0,0,0,30,0,10,0,0,0,0,0,0,20,30,10,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
his boyfriend gonna be like you ai make a team im straight fag the rams really cut michael sam wow,1,1,10,10,0,0,10,0,10,0,5,0,0,5,0,0,10,0,0,5,0,0,0,0,0,5,20,5,5,0,0,0,0,20,0,5,0,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,5,0,0,0,0,0,5,5,10,5,0,0,5
his hair so cute wit his sessy face but his ex bitch liked that picture to shit like fucc it,1,1,0,0,0,0,5,0,5,0,0,0,0,0,5,0,20,10,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0
hit a bitch with a car bomb,1,1,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,42.86,0,28.57,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hit his bitch im like shaggy im like no it was me,1,1,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,16.67,0,8.33,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8.33,16.67,0,0,0,0,0,0
hit it and pass it uil that pussy elastic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
hit me up with plans nigs,1,1,16.67,0,16.67,0,16.67,0,16.67,16.67,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0
hit me with plans mah nigs,1,1,16.67,0,16.67,0,16.67,0,16.67,16.67,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0
hit my car with another rock and ill be all over your ass in no time bitch,1,1,0,0,0,0,17.65,11.76,5.88,0,0,0,0,0,5.88,0,17.65,0,5.88,0,0,0,0,0,0,11.76,5.88,0,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,0,11.76,0,0,0,0,0,0,5.88,0,0,0,0,0
hitler did finish it can u if a nigger ur jew confros u in the street what then,0,1,5.56,0,5.56,0,11.11,0,11.11,0,0,5.56,5.56,0,5.56,0,5.56,0,0,0,0,0,0,0,0,5.56,16.67,0,0,0,0,0,0,16.67,0,0,0,0,5.56,0,5.56,0,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,11.11,5.56,5.56,0,16.67,16.67,0,0,0
hittin licks what you get outta that you amp yo boys is some pussy cats,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,20,0,0,0,0,0,0,20,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,6.67,0,0,0,0,0,0,6.67,6.67,0,0,6.67,0,0,0,0,0,6.67,0,13.33,13.33,0,0,0
hitting women is wrong morally but bitches get raped kidknappedbeat up an sold to be sex slaves when they gonna end that,1,1,4.55,0,0,4.55,4.55,0,4.55,0,0,0,0,0,4.55,0,22.73,0,18.18,0,0,0,0,0,0,4.55,22.73,13.64,0,0,4.55,9.09,0,9.09,0,0,4.55,0,0,0,0,0,4.55,0,0,0,4.55,0,9.09,0,0,0,0,0,9.09,0,0,0,0,4.55,0,0,0,0,0,0,4.55,4.55,0,0,4.55,0,0,0,9.09,4.55,4.55,4.55,4.55,4.55,0,0,0
every bitch i fucked wit is a hoe never met a real female in my life,1,1,0,0,0,0,18.75,12.5,6.25,0,0,0,0,6.25,0,0,25,6.25,6.25,0,0,0,0,0,0,18.75,25,6.25,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,0,6.25,0,0,0,6.25,12.5,6.25,0,0,0,0,0,0
hmm ass all chunky brain is insanity,1,1,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,14.29,0
hmu talmbout match but when i pull up its other niccas wit ya,2,1,0,0,0,0,15.38,0,15.38,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,0,7.69,0,0,0,15.38,15.38,0,0,0
hoe bitches act up i turn chris breezy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0
hoes ai wana fuck a nigga back then you but all the bitches wana fuck a nigga now,1,1,0,0,0,0,11.11,5.56,5.56,0,0,0,0,0,5.56,0,33.33,0,0,0,0,0,0,0,0,33.33,11.11,0,0,0,0,0,0,11.11,0,0,5.56,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,5.56,0,0,0,11.11,0,5.56,0,0,0,0,0,0
hoes all on my bandwagon your bitch gaggin she jet laggin aap,1,1,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,25,0,0,0,0,0,0,25,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoes always blaming hoes for being hoes,1,1,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,57.14,0,14.29,0,0,0,0,0,0,42.86,57.14,14.29,0,0,0,14.29,0,42.86,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0
hoes always saying niggas hoes but they be the hoes,1,1,0,0,0,0,20,10,10,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,0,40,50,10,0,0,0,0,10,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
hoes always tryna say they look like a celebrity no bitch you like the other hoe that love on krenshaw sit yo basic ass down,1,1,4,0,0,4,16,8,8,0,0,4,0,0,4,0,20,4,0,4,4,0,0,0,0,16,28,8,0,0,0,0,4,20,0,0,8,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,4,0,8,4,0,0,4,0,4,0,8,8,0,0,0
hoes and dey hoe poses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoes be bringing they friends around they nigga and they nigga end up fucking with the bitch friend and the bitch do even kno,1,1,4.17,4.17,0,0,4.17,0,4.17,4.17,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,4.17,0,0,0,0,0,20.83,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,12.5,0,4.17,8.33,0,0,0,4.17,0,0,0,4.17,4.17,0,0,0
hoes be like hoes be likebut they be the hoes that be like,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,23.08,30.77,0,0,0,0,0,0,30.77,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoes be like my niggas ca have no hoes but that how he meet yo ass,1,1,0,0,0,0,18.75,6.25,12.5,6.25,6.25,0,0,0,6.25,0,31.25,6.25,0,0,0,0,0,0,0,25,25,6.25,0,0,0,0,0,18.75,0,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0
hoes be making twerk videos talking bout just playing around bitch you know you was serious,1,1,0,0,0,0,12.5,0,12.5,6.25,6.25,0,0,0,0,0,18.75,6.25,0,0,0,0,0,0,0,12.5,25,6.25,0,0,0,0,6.25,18.75,0,0,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0
hoes be prayin niccas d kno dat background,1,1,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0
hoes get in this bitch talk about irreleva shit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,22.22,11.11,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,22.22,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
hoes gon always be hoes or have they hoe ways at least,1,1,0,0,0,0,16.67,8.33,8.33,0,0,0,8.33,0,8.33,0,25,0,0,0,0,0,0,0,0,25,33.33,0,0,0,0,0,0,33.33,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,0,0,8.33,8.33,8.33,0,0,0
hoes gon be hoes let them be,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,28.57,42.86,0,0,0,0,0,0,42.86,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0
hoes gone be hoes but thats none my business,1,1,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,11.11,0,22.22,0,0,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,0,22.22,0,0,22.22,0,0,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
hoes gone be hoes dobemad,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0
hoes hang wit hoes cuz dey got da same hobbies,1,1,0,0,0,0,20,0,20,0,10,0,0,0,10,0,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0
hoes respect niggas who get strait to the poi i wo lead a bitch on if all i wo is crash den it will be adressed clearlyturn up,1,1,7.14,0,3.57,7.14,10.71,3.57,7.14,0,3.57,0,3.57,0,3.57,0,14.29,3.57,0,0,0,0,0,0,0,10.71,10.71,3.57,3.57,0,0,0,0,7.14,0,0,3.57,0,0,0,0,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,3.57,7.14,0,0,7.14,0,0,0,0,0,3.57,3.57,0,0,0,0,0
hoes thnk they won when the nigga thats ridin the fence sta givin them a lil atteion what u won hoe a wishywashy ass nigga oh,0,1,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,26.92,7.69,0,0,0,0,0,0,0,19.23,19.23,0,0,0,0,0,0,19.23,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,3.85,7.69,3.85,0,11.54,7.69,0,3.85,0
hoes will be hoes lol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0
hoes will be hoes nd ratchets will bewell u know,1,1,0,0,0,0,10,0,10,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0
hoes will be hoes monday saturday amp staing again sunday after church services,1,1,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,15.38,23.08,0,0,0,0,0,0,23.08,0,0,15.38,0,0,0,0,0,15.38,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0,0,7.69,0,0,0,0,0
hoes will be hoes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
hoes will put with ya man as the location in their bio then get mad when you think they a hoe,1,1,0,0,0,0,4.76,0,4.76,4.76,0,0,0,0,0,0,14.29,0,4.76,4.76,0,4.76,0,4.76,0,9.52,33.33,0,0,0,0,0,0,33.33,0,0,9.52,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,4.76,14.29,0,4.76,9.52,0,0,0,9.52,0,0,4.76,4.76,4.76,0,0,0
hoi fai moke hau,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold all your ghetto labeled and endorsed vodka brands you can rum me silly any day shivermetimbers,2,1,0,0,0,0,17.65,5.88,11.76,0,0,5.88,5.88,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,17.65,5.88,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,11.76,0,11.76,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,0,0,5.88,5.88,0,5.88,0,0,0,0,0,0
hold up lebron ai at dwade wedding if he got uninvited for leaving miami thats some hoe shit see yall so quick to call some brother,1,1,7.69,7.69,0,0,3.85,0,3.85,0,0,0,3.85,0,3.85,0,7.69,0,0,0,0,0,0,0,0,7.69,23.08,7.69,0,0,0,0,3.85,19.23,7.69,0,3.85,7.69,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,11.54,11.54,0,3.85,3.85,3.85,0,0,3.85,0,3.85,0,0,0,0,0,0
hold up women leaving good men for some quotes they seen a nigga with no girl post on instagram that he copied on googleu hoes crazy,1,1,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,15.38,3.85,0,7.69,3.85,0,0,0,0,7.69,23.08,0,0,0,0,0,0,23.08,0,0,11.54,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,11.54,0,3.85,3.85,3.85,0,0,0,7.69,0,0,0,0,0,0,0
